Celebrity,India,Quora,Life,Love,Money,Job,Feelings,Donald_Trump,Progr_languages,Business,Android,Engineering,Indian,Girl,Sex,Why_dont,Buying,English,Facebook,.com,Computer_science,Age_related,Books,Google,study,Phone,Movie,College,Lose_weight,Math,Softwares,i_phone,possibilities,Highschool,Youtube
Elon Musk,0.00021661453897032446,6.99663717631629e-05,0.0004355343945209524,0.0,0.00010726722330636853,0.00010966097086556405,0.00012354247203754664,0.00043563284377269915,0.0,0.017426496654074124,0.0,0.00013039161802778012,0.000588917511151994,5.994090112738422e-05,0.0,0.00023798817148449524,0.0004763594367448818,0.00022064275492811,0.00033643537911034137,0.014950640950240728,0.0003120220567860143,1.3087062569358332e-05,0.0002734879390569396,0.0002582907110605711,7.46433419629811e-05,2.9941852946520884e-05,2.6476233576021824e-05,0.000324228970605535,0.0005467572785007739,0.00028313428535452846,6.392406921974988e-05,0.011774568803683922,2.6219855304112034e-05,0.007118499230190587,0.0034838690010982605
Jeffrey Immelt,6.30613577243651e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5434882993226604e-06,0.0,0.0,3.4867678791323615e-05,0.0,0.0,0.0,0.0,0.0,7.866430617438182e-07,0.0,0.0,6.889339300008388e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7863224890821475e-06,0.0,0.0,0.0
Francois Hollande,5.900945720389057e-06,1.664476438805841e-05,2.855295791963422e-07,0.0001064796803553682,0.0,0.00016524911862274912,0.0,5.5344779790404026e-05,0.0,2.5429367616228806e-05,7.54805116449877e-05,0.0,0.0,0.00010468788378920009,0.0,0.0,5.9851788753149966e-05,5.694986149662492e-05,6.107290533192259e-06,3.5432955634036024e-05,0.0,2.5271634770036534e-05,0.0006464694902020254,8.488440285234102e-06,0.0,0.0,0.0005333793902179167,0.0,0.0,0.0,4.9165202376251195e-05,4.6992505439838515e-05,0.00011802066263610285,1.4964919078590407e-06,7.837632310294573e-05
Rex Tillerson,0.0007914203685551875,0.0,5.435376880960995e-05,0.0,0.0,0.0006289444998062884,5.864963227010968e-05,0.03450782539654157,0.0,0.0070286501030929335,0.0,0.023608643395730943,0.001260950555522305,0.002225040824125213,0.0,0.0,0.0,0.0003773583348670327,2.449023301911681e-06,4.120622968358065e-05,0.0006883372877023187,0.0015715458697161708,0.0,0.0,0.0004970377471711921,3.924547547452327e-05,0.0001292172690643938,0.0,0.00028408883905429137,0.0,9.03746999293446e-06,0.016009566621836203,0.0010200471293936612,0.00021628298223528355,0.0011016574434183255
Christine Lagarde,0.001395419213828148,0.00018476601609287332,0.000223183641292405,0.00045864329983463374,0.00039771898493060705,0.0006325711636418353,0.0006479191908628394,0.001493137593817948,0.0004552874455139495,0.004513130399866206,0.0,0.000408274951028293,0.003194884043550426,0.0003322014842775557,0.0015306825340753514,0.0004474194226456907,0.00038007799255233073,0.0013630485615246225,0.0003668765118863658,0.00013329186533265772,0.00020663229104220962,0.001437436461452781,0.0003498740445613597,0.0002229446464780091,0.0006995978248582646,0.00014364674409628295,0.0007181596602988942,0.00011929792115584486,0.00015415856115464375,3.8755288006942084e-05,5.91734192031597e-05,0.0018708790748832866,0.0014127695232969484,0.0015687355015902287,0.0024356422762904784
Lloyd Blankfein,7.208100988380152e-05,1.3909142877270323e-05,4.14896451831789e-06,0.0,0.0,0.00011338287269671702,7.790475263689526e-05,0.0019862165244742143,0.0,0.027804998178071708,0.0,0.0,0.0005589854866186198,4.900132545016517e-05,0.0004820986820333725,3.557035333594631e-05,1.6846936050448603e-05,0.000624336156073081,1.2738575091084582e-05,0.0,0.0,4.517436073179116e-05,0.0,0.00036167886671453146,4.4362349013954334e-05,2.748928302856236e-05,5.0579219196864684e-05,0.0,0.00014686020997711028,5.102061395906627e-06,0.0,0.001095134525887446,0.0002059714249550114,0.00038264457878210353,0.00034986307355495337
Doug McMillon,0.00013274315213805186,0.0,0.0,0.0,0.0,0.0,0.00019819933423683345,0.005106293025277811,0.0,0.0,0.0,0.0,0.00025652356813150623,0.0,0.0025089644484499983,0.0,0.0,0.0003651757562240716,0.0,0.0,0.0,0.0,0.0,0.00022633252631515955,0.0001929215905990753,0.0,0.0,0.0,1.7487854625476335e-05,0.0,0.0,0.03658159163352713,0.0,0.04115655755112946,0.0
Jack Ma,0.0006768057110274235,0.00019460909522242813,0.04100853630906597,0.014575781325968313,0.00011008418103336484,8.202300886207131e-05,8.653256389641993e-05,0.0004084875875266722,0.00022701652976908716,0.036643490131942624,0.0,0.0004124047172212482,0.0020802415620690996,0.0,0.0012858164042719453,0.000707551956616729,0.0002311759532282037,0.001293174353383888,0.0002990578459109154,0.0005462243404313927,0.0008823286018816509,0.0013039097018128572,0.0003171035963953585,2.2012720320718954e-05,0.00031163703405351784,0.00012746665362182454,0.014100809046065492,0.0,0.0015495041699412945,0.0004085177472569166,0.00058411094266163,0.0021142022005272605,0.0010165712581431446,0.0072576020301390485,0.0013395844262879366
Akio Toyoda,0.00022889499248863232,0.0,0.00026567125056140765,0.0,7.73753329516667e-06,0.0,3.1804497391652966e-05,0.006031266418597753,1.5067962440337648e-05,3.072865559649154e-05,3.441541032271389e-05,0.0,8.241236130477783e-05,0.0,0.0,0.0,0.00011741948650113409,4.365256410348068e-05,3.0505399222643245e-05,0.0,0.0,3.292252852263015e-05,3.994897090646845e-05,1.050827429210082e-06,0.0,1.8516579195727197e-05,0.0,0.00011237184277326895,0.0,0.0,5.633883785605257e-06,0.00012840759791768455,0.0,4.836840765276973e-05,0.000164553816247508
Sergey Brin,0.00010969042660698088,0.0001233901831444987,0.00028452010377851054,0.00023331363025042725,5.8753585971134656e-05,0.0,0.00035436641915347614,0.002562354030833814,0.0004953484268864684,0.0005002068505018614,0.0004849894222984472,0.0015456543314270692,0.0003514833823423164,0.0,0.000557124221121115,0.01643633740798699,0.0,0.00034132063450120233,0.0009586824218242659,0.00021551673982702531,0.054251018043065015,0.0011586804757921765,0.0005515563483532197,0.07020526298289559,0.0010055989768634308,0.0,0.0,0.00014694887653511385,2.663705529095814e-05,0.0,0.00039785101173182814,0.007072013719089718,0.0022574706583673035,0.0014850909293551698,0.0018132871441462308
Charles Koch,0.0005884606086269092,9.61250156307136e-05,0.00029592496098247424,0.00012378270889443427,0.0004358018232565708,0.0007050907060101326,0.00016046080449870067,0.0021326160668952584,0.00019804618002591505,0.016828661653388952,6.404958158413999e-05,0.0003653031971417565,0.0014809523655511519,0.00011950390804555273,0.00016884130222072274,0.0002827563077333808,0.0006667551650269177,0.0002581011085427913,0.00018552794787769273,0.0006866022388930754,0.006121903950189461,0.0003072773055929049,0.0006884826634726195,7.042203891848802e-05,0.0006419301897517864,0.003059335969395228,0.000465346383842586,0.0001067106753257668,0.0001342078335221157,0.0007963993304674853,0.0001317987797432258,0.005371376233387654,0.001302032202225555,0.0008944657597990398,0.0008780073233848733
Tim Cook,0.0005219872412669275,0.0,0.00029513944036012855,0.0001242993107482436,0.0002320370588234736,0.00043810551441514985,0.00024466976946757607,0.012100883980691982,0.0,0.00945345123210512,0.0002728164865439567,0.0005102289923613239,0.0015017995468065287,0.00022777776961134457,0.00036361935379239596,0.0002858278585012888,0.001429572681813795,0.0005195109491921459,0.00011982020228410575,2.1006751349220862e-05,0.000573467465683616,9.03399088012801e-05,3.8688663392414535e-05,0.0015369298509450963,0.0014153089153798623,0.0,0.0003344461019586508,0.0,0.0006186116656121529,0.002767374176947304,0.0,0.01886668249559272,0.0011245842658017626,0.0010584837297648408,0.0005020400333043382
Li Ka-shing,0.000690586346888377,9.360127307738923e-05,0.0010135426977512102,0.00019919258803455172,0.0009088646954274921,0.004081430547004645,0.00019681956629285304,0.0004895690228067374,0.0,0.014698044199605515,0.0,0.0,0.001974052883534219,3.246576159055818e-05,0.00018907122842611547,0.00033349767155022806,0.0016997744065511834,0.0003458356246667456,9.103595640934475e-06,0.00010240369308339596,0.0,0.0006604257447366626,7.004027566728388e-05,1.1721641631678563e-05,6.814508586095763e-05,4.533317182962995e-05,0.0005849590627525895,0.0004075009244919512,0.0010398394596511024,0.00033913288080473147,0.0003174616599136193,0.016379495843023107,5.453907211587024e-05,0.0054811816813069795,0.0034218995169519946
Larry Fink,2.6796705240994125e-05,0.0,6.260176994983466e-05,0.0,2.5979156503388302e-05,4.1023318450097086e-05,6.009114024632071e-05,0.0009296647886078865,0.0,2.1585340410814402e-05,0.0,7.961671495434924e-05,0.0007536283857486194,0.00016319615579701564,1.6746199553480497e-06,0.00016134401877997972,3.782589392198234e-05,0.001017529142740792,1.1184003603476316e-05,0.0,0.0,3.251977546829701e-05,0.00034851436806249126,7.971504393184342e-05,8.94249082783722e-05,8.108834042283965e-05,9.709074279729152e-05,0.0,0.0001760090588739124,0.0,0.0,4.7609343715844826e-05,0.00015194402033009657,0.000619217015380875,0.000489515693395041
Rupert Murdoch,0.000943396203433478,0.00019811992919434087,0.0002457645210264955,0.0001113978309684776,0.00022634386982668984,0.0003544444539725749,0.0003075065103765364,0.0011912545602404151,2.3742428027138824e-06,0.00040197819518538987,0.0001668405003904979,0.0,0.002749185655603823,0.00017916688401416127,0.00012028554467545862,0.0004344657699298421,0.00026697869588015896,0.001096116769491366,0.0006124048430502673,0.0002443397667179628,3.520987347766092e-05,0.00045430667520992164,0.00022212208320752328,0.00023315902323915713,0.00043977632234335927,0.0022538643046324074,0.000597113793151134,4.0275407523211835e-05,0.00031137512699622774,0.00012313009574220021,0.0001739668843348657,0.010165352459101579,0.0007297074579906066,0.0011931784344502768,0.0012255231030271173
Antonio Guterres,5.900945720389057e-06,1.664476438805841e-05,2.855295791963422e-07,0.0001064796803553682,0.0,0.00016524911862274912,0.0,5.5344779790404026e-05,0.0,2.5429367616228806e-05,7.54805116449877e-05,0.0,0.0,0.00010468788378920009,0.0,0.0,5.9851788753149966e-05,5.694986149662492e-05,6.107290533192259e-06,3.5432955634036024e-05,0.0,2.5271634770036534e-05,0.0006464694902020254,8.488440285234102e-06,0.0,0.0,0.0005333793902179167,0.0,0.0,0.0,4.9165202376251195e-05,4.6992505439838515e-05,0.00011802066263610285,1.4964919078590407e-06,7.837632310294573e-05
Shinzo Abe,0.00010220936226167154,0.00010700751198094864,0.0,0.0,8.465065059380139e-05,0.0,0.0,4.604223130238404e-05,0.02243022954333482,0.0003202971637755493,0.00012987060449001702,0.00018772119287951516,0.0003250811180984129,0.0,0.0,7.125606453279801e-06,8.095101689550376e-05,0.0018057555623201555,0.006665925683347875,0.00026724383450946117,0.0,0.0,0.00019756887903981174,0.0011072195873136513,0.00027462762971228665,0.0,0.0,0.0,0.0,0.0,7.485210780681974e-05,7.015695491199575e-05,7.42301471775245e-05,0.00014448373808187572,0.000419115257706916
Mukesh Ambani,0.04379242083704966,1.0195968998323223e-05,9.609584707553146e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.008117848493077251,0.0,0.0,0.040029759109762024,0.0,0.0,0.0,0.0002605294401642434,0.0,0.000342492451577681,0.00012199293265326277,0.0,0.0002506082159063828,0.00010354536957153505,0.0,0.0,0.00011617050547231278,0.0,0.0,7.869809291900522e-05,0.0002838327848971381,0.0008584848598543478,0.013865858638468762,0.0005464288482831709,0.00018187911597279937,0.0
Khalifa bin Zayed Al-Nahyan,5.900945720389057e-06,1.664476438805841e-05,2.855295791963422e-07,0.0001064796803553682,0.0,0.00016524911862274912,0.0,5.5344779790404026e-05,0.0,2.5429367616228806e-05,7.54805116449877e-05,0.0,0.0,0.00010468788378920009,0.0,0.0,5.9851788753149966e-05,5.694986149662492e-05,6.107290533192259e-06,3.5432955634036024e-05,0.0,2.5271634770036534e-05,0.0006464694902020254,8.488440285234102e-06,0.0,0.0,0.0005333793902179167,0.0,0.0,0.0,4.9165202376251195e-05,4.6992505439838515e-05,0.00011802066263610285,1.4964919078590407e-06,7.837632310294573e-05
Jay Y. Lee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ding Xuedong,0.0022666280839673605,5.409578398174394e-05,0.00021003392951282162,6.232171362841031e-05,0.0007878992050402776,0.0006522284860205273,0.00020509706344280099,0.0013217220656404794,0.0,0.0020557434125575424,0.0,0.0007111859254839649,0.0025859560624875923,1.1650345324995094e-05,0.0,0.0001726166841588242,0.0004572719326112283,0.0011047996718212443,0.0005942982625581207,5.452488836884147e-05,0.017575461190358115,0.00021276356987396305,0.0005165177183020038,0.0005986678240195317,0.0008789300866098016,0.0004077552845454813,0.0007549058854620407,6.854709154389389e-06,0.0024046843494558126,0.0,0.0003306962846700305,0.0022814623917849814,0.002447161806838813,0.001337175805889523,0.0019528235167043282
